H;B
-825.3546910755149;0.22200468627961478
-825.3546910755149;0.18259828169747472
-825.3546910755149;0.14319187711533465
-825.3546910755149;0.10378547253319459
-825.3546910755149;0.06437906795105452
-825.3546910755149;0.012434261910960753
-821.4187643020595;0.47590731580317647
-822.7307398932113;0.42082790939859427
-822.7307398932113;0.3814215048164542
-822.7307398932113;0.34201510023431414
-823.1680650902618;0.2960409615551507
-818.7948131197559;0.7248841447539706
-820.1067887109077;0.6698047383493884
-820.1067887109077;0.6303983337672483
-820.1067887109077;0.5909919291851082
-820.5441139079583;0.549794324394689
-816.1708619374523;0.8498203592814373
-817.9201627256547;0.7907107524082272
-813.5469107551487;0.908631432786601
-808.2990083905415;0.9528143712574852
-797.8032036613272;0.9983108565477743
-776.8115942028985;1.0381406357245986
-747.9481311975591;1.0594722018413767
-719.0846681922197;1.0698937303259097
-690.2212051868803;1.0757558400984595
-661.3577421815409;1.0803152588104425
-632.4942791762014;1.0835719864618591
-603.630816170862;1.086503041348134
-574.7673531655225;1.0887827507041257
-545.9038901601831;1.0907367872949756
-517.0404271548437;1.0943191877115337
-488.1769641495042;1.0965988970675253
-459.3135011441648;1.0979015881280918
-430.45003813882533;1.0992042791886585
-401.5865751334859;1.1014839885446501
-372.72311212814657;1.1014839885446501
-343.859649122807;1.1050663889612082
-314.9961861174677;1.1050663889612082
-286.13272311212813;1.1050663889612082
-257.2692601067888;1.1076717710823414
-228.40579710144925;1.1086487893777663
-199.54233409610993;1.1122311897943247
-170.67887109077037;1.1122311897943247
-141.81540808543105;1.1125568625594662
-112.95194508009149;1.1158135902108828
-84.08848207475216;1.1158135902108828
-55.22501906941261;1.1193959906274409
-26.361556064073284;1.1193959906274409
-6.6819221967964495;1.1193959906274409
